"filename", "language", "CSS", "JavaScript", "Vue", "comment", "blank", "total"
"d:\vscode\水果店\forward\System\src\App.vue", "Vue", 0, 0, -12, 0, -5, -17
"d:\vscode\水果店\forward\System\src\index.css", "CSS", -9, 0, 0, 0, -1, -10
"d:\vscode\水果店\forward\System\src\main.js", "JavaScript", 0, -18, 0, -2, -6, -26
"d:\vscode\水果店\forward\System\src\routers\index.js", "JavaScript", 0, -122, 0, -5, -11, -138
"d:\vscode\水果店\forward\System\src\static\CSS\Login.css", "CSS", -82, 0, 0, 0, -1, -83
"d:\vscode\水果店\forward\System\src\store\global.js", "JavaScript", 0, -30, 0, 0, -12, -42
"d:\vscode\水果店\forward\System\src\store\user.js", "JavaScript", 0, -332, 0, -10, -56, -398
"d:\vscode\水果店\forward\System\src\vite.config.js", "JavaScript", 0, -13, 0, 0, -1, -14
"Total", "-", -91, -515, -12, -17, -93, -728
